,low,high
keynote_042,-0.4049384827201073,0.12215366759707577
keynote_024,-0.27329096961752314,0.268360128484225
keynote_189,-0.20724383952075356,0.3307125897680763
checkmate_078,-0.36261970535766735,0.09004989048090468
flaura,-0.712434745630278,-0.20412008526169795
